KJ199722,00:00,00:30,100
RY135065,00:00,00:30,100
AR160874,00:00,00:30,150
KJ150818,00:00,00:30,150
ED62565,00:00,00:30,200
KJ169867,00:00,00:30,250
AR121198,00:00,00:30,300
AR159836,00:00,00:30,300
VL186567,00:00,00:30,300
AR112495,00:00,00:30,350
RY127689,00:00,00:30,350
RY159525,00:00,00:30,400
RT149853,00:00,00:30,450
XC170336,00:00,00:30,450
KJ127763,00:00,00:30,50
RY185276,00:00,00:30,50
XC67902,00:00,00:30,50
RY214640,00:00,00:30,500
XC80913,00:00,00:30,500
RT71152,00:00,00:30,550
RY128215,00:00,00:30,550
KJ11029,00:00,00:45,100
KJ8220,00:00,00:45,100
RT143101,00:00,00:45,100
XC4899,00:00,00:45,150
ED161444,00:00,00:45,250
KJ51301,00:00,00:45,250
XC111192,00:00,00:45,250
ED15738,00:00,00:45,300
FT201256,00:00,00:45,300
RT112395,00:00,00:45,300
FT162244,00:00,00:45,350
KJ123815,00:00,00:45,350
VL13544,00:00,00:45,350
VL135557,00:00,00:45,350
KJ83551,00:00,00:45,400
AR49887,00:00,00:45,450
FT25381,00:00,00:45,450
AR109726,00:00,00:45,50
AR162913,00:00,00:45,50
RY161559,00:00,00:45,550
AR55341,00:00,01:00,150
RY51568,00:00,01:00,150
RY93208,00:00,01:00,150
AR140055,00:00,01:00,200
VL44989,00:00,01:00,200
AR88167,00:00,01:00,250
RY136927,00:00,01:00,250
KJ143002,00:00,01:00,300
XC103864,00:00,01:00,300
ED125089,00:00,01:00,350
XC80854,00:00,01:00,350
ED182971,00:00,01:00,400
FT51650,00:00,01:00,400
XC151008,00:00,01:00,400
FT166920,00:00,01:00,450
FT96834,00:00,01:00,500
RY217367,00:00,01:00,500
ED137779,00:00,01:00,550
XC23504,00:00,01:00,550
ED83423,00:00,01:15,150
FT75462,00:00,01:15,150
FT216864,00:00,01:15,200
RT81950,00:00,01:15,200
XC216120,00:00,01:15,200
AR122747,00:00,01:15,250
AR60341,00:00,01:15,300
ED36762,00:00,01:15,350
RY77181,00:00,01:15,350
KJ108884,00:00,01:15,450
KJ129953,00:00,01:15,450
RT47926,00:00,01:15,50
RT101042,00:00,01:15,500
ED164171,00:00,01:15,550
RT212286,00:00,01:15,550
ED68333,00:00,01:30,100
RT108009,00:00,01:30,100
FT143698,00:00,01:30,150
KJ136181,00:00,01:30,150
KJ183482,00:00,01:30,150
RY180022,00:00,01:30,150
AR148867,00:00,01:30,200
ED106437,00:00,01:30,300
ED158009,00:00,01:30,300
KJ40051,00:00,01:30,300
RT86943,00:00,01:30,300
RY50866,00:00,01:30,300
XC163762,00:00,01:30,300
ED148220,00:00,01:30,400
VL89716,00:00,01:30,450
AR197864,00:00,01:30,50
ED174482,00:00,01:30,50
FT107482,00:00,01:30,50
KJ72986,00:00,01:30,50
RT104128,00:00,01:30,50
RY1905,00:00,01:30,50
AR137924,00:00,01:30,500
RT152501,00:00,01:30,500
RT21634,00:00,01:30,500
RY98280,00:00,01:30,500
VL7378,00:00,01:30,500
KJ48312,00:00,01:30,550
VL183757,00:00,01:30,550
XC21045,00:00,01:45,150
AR162535,00:00,01:45,250
RY107052,00:00,01:45,250
VL115146,00:00,01:45,250
KJ17402,00:00,01:45,350
AR179655,00:00,01:45,400
FT140838,00:00,01:45,400
RT138079,00:00,01:45,400
ED66895,00:00,01:45,450
KJ79697,00:00,01:45,450
KJ187493,00:00,01:45,50
VL81590,00:00,01:45,50
KJ139712,00:00,01:45,500
KJ210309,00:00,01:45,500
RY16294,00:00,01:45,500
AR54702,00:00,02:00,100
FT126830,00:00,02:00,100
XC160225,00:00,02:00,100
KJ47581,00:00,02:00,150
RT133556,00:00,02:00,150
RT195558,00:00,02:00,150
ED189170,00:00,02:00,200
RT174220,00:00,02:00,200
VL1406,00:00,02:00,250
ED7469,00:00,02:00,300
KJ192528,00:00,02:00,300
AR113344,00:00,02:00,350
FT124735,00:00,02:00,350
FT179183,00:00,02:00,350
FT111168,00:00,02:00,400
RT109694,00:00,02:00,400
XC187761,00:00,02:00,400
AR41736,00:00,02:00,450
ED95511,00:00,02:00,450
KJ115273,00:00,02:00,50
RT103404,00:00,02:00,50
AR17360,00:00,02:00,550
ED110975,00:00,02:00,550
